,char_count,scope,instant,query_count,first_page_count,click_count,perc_query_count,findability,ctr
4,3,desktop,on,132626.0,10292.0,15444.0,4.48429856463,7.76016768959,11.6447755342
5,3,mobile,on,272173.0,41811.0,43029.0,4.26528839156,15.3619205432,15.8094300316
6,4,desktop,on,331803.0,28340.0,44464.0,11.2187935747,8.54121270754,13.400722718
7,4,mobile,on,673818.0,124090.0,127225.0,10.5595635622,18.415952082,18.881211247
8,5,desktop,on,335174.0,31353.0,48255.0,11.3327725114,9.35424585439,14.3969997673
9,5,mobile,on,848655.0,197767.0,202340.0,13.2994761418,23.3035803713,23.8424330264
10,6,desktop,on,332277.0,36437.0,53281.0,11.2348202778,10.9658507811,16.0351152803
11,6,mobile,on,771015.0,162356.0,165921.0,12.0827610719,21.0574372742,21.5198147896
12,7,desktop,on,321898.0,57856.0,71079.0,10.8838895794,17.9733952991,22.0812182741
13,7,mobile,on,677942.0,149539.0,152633.0,10.6241917558,22.0577866543,22.5141678787
14,8,desktop,on,273284.0,36626.0,50389.0,9.24017197937,13.4021750267,18.4383278933
15,8,mobile,on,621505.0,135632.0,139085.0,9.73975398661,21.8231550832,22.3787419248
16,9,desktop,on,170993.0,22777.0,31405.0,5.78154859878,13.3204283216,18.3662489108
17,9,mobile,on,422450.0,82025.0,84395.0,6.62031531788,19.416498994,19.9775121316
18,10,desktop,on,143290.0,19464.0,26311.0,4.8448655718,13.5836415661,18.3620629493
19,10,mobile,on,326885.0,65585.0,67258.0,5.12269327184,20.0636309405,20.5754317268
20,11,desktop,on,121858.0,19039.0,24749.0,4.12021515004,15.6239229267,20.3097047383
21,11,mobile,on,245670.0,47760.0,48801.0,3.8499535191,19.4407131518,19.8644523141
22,12,desktop,on,120496.0,20146.0,25535.0,4.07416373745,16.7192271943,21.1915748241
23,12,mobile,on,233219.0,44882.0,45821.0,3.65483091046,19.2445726978,19.6471985559
24,13,desktop,on,104712.0,16722.0,21344.0,3.54048128798,15.9695163878,20.3835281534
25,13,mobile,on,203780.0,38949.0,39911.0,3.1934852775,19.1132593974,19.5853371283
26,14,desktop,on,98848.0,16386.0,20642.0,3.34221000797,16.5769666559,20.8825671738
27,14,mobile,on,181423.0,35973.0,36783.0,2.84312336588,19.8282466942,20.2747170976
28,15,desktop,on,81834.0,14038.0,17428.0,2.76693927841,17.1542390693,21.2967715131
29,15,mobile,on,159213.0,33390.0,34324.0,2.49506512654,20.9719055605,21.5585410739
30,16,desktop,on,66767.0,11875.0,14971.0,2.25749975318,17.7857324726,22.4227537556
31,16,mobile,on,131751.0,28093.0,28958.0,2.06470153497,21.3227983089,21.9793398153
